1	1	1.0
1	2	0.157894736842
1	3	0.1
1	4	0.0
1	5	0.0
1	6	0.0
1	7	0.0
1	8	0.0
1	9	0.1
1	10	0
1	11	0.277777777778
2	1	0.157894736842
2	2	1.0
2	3	0.210526315789
2	4	0.5
2	5	0.0
2	6	0.0
2	7	0.0
2	8	0.0
2	9	0.210526315789
2	10	0
2	11	0.0
3	1	0.1
3	2	0.210526315789
3	3	1.0
3	4	0.0
3	5	0.0
3	6	0.0
3	7	0.0
3	8	0.0
3	9	1.0
3	10	0
3	11	0.111111111111
4	1	0.0
4	2	0.5
4	3	0.0
4	4	1.0
4	5	0.0
4	6	0.0
4	7	0.0
4	8	0.0
4	9	0.0
4	10	0
4	11	0.0
5	1	0.0
5	2	0.0
5	3	0.0
5	4	0.0
5	5	1.0
5	6	1.0
5	7	0.0
5	8	0.0
5	9	0.0
5	10	0
5	11	0.0
6	1	0.0
6	2	0.0
6	3	0.0
6	4	0.0
6	5	1.0
6	6	1.0
6	7	0.0
6	8	0.0
6	9	0.0
6	10	0
6	11	0.0
7	1	0.0
7	2	0.0
7	3	0.0
7	4	0.0
7	5	0.0
7	6	0.0
7	7	1.0
7	8	0.0
7	9	0.0
7	10	0
7	11	0.0
8	1	0.0
8	2	0.0
8	3	0.0
8	4	0.0
8	5	0.0
8	6	0.0
8	7	0.0
8	8	1.0
8	9	0.0
8	10	0
8	11	0.0
9	1	0.1
9	2	0.210526315789
9	3	1.0
9	4	0.0
9	5	0.0
9	6	0.0
9	7	0.0
9	8	0.0
9	9	1.0
9	10	0
9	11	0.111111111111
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	0
10	8	0
10	9	0
10	10	0
10	11	0
11	1	0.277777777778
11	2	0.0
11	3	0.111111111111
11	4	0.0
11	5	0.0
11	6	0.0
11	7	0.0
11	8	0.0
11	9	0.111111111111
11	10	0
11	11	1.0
